ts,id,district,fwy,dir,lane_type,length,samples,pct_obs,flow,occ,speed,l1_samples,l1_flow,l1_occ,l1_speed,l1_obs,l2_samples,l2_flow,l2_occ,l2_speed,l2_obs,l3_samples,l3_flow,l3_occ,l3_speed,l3_obs,l4_samples,l4_flow,l4_occ,l4_speed,l4_obs,l5_samples,l5_flow,l5_occ,l5_speed,l5_obs,l6_samples,l6_flow,l6_occ,l6_speed,l6_obs,l7_samples,l7_flow,l7_occ,l7_speed,l7_obs,l8_samples,l8_flow,l8_occ,l8_speed,l8_obs
2026-01-06 02:00:00,421238,4,580,E,ML,3.005,30,67,49.0,0.0135,64.0,10,2.0,0.0009,71.9,1,10.0,13.0,0.0082,69.6,1,10.0,34.0,0.0313,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:05:00,421237,4,580,E,ML,1.513,30,67,45.0,0.015,63.9,10,4.0,0.0027,71.7,1,10.0,9.0,0.0098,69.6,1,10.0,32.0,0.0326,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:05:00,421238,4,580,E,ML,3.005,30,67,43.0,0.0122,63.5,10,2.0,0.001,71.9,1,10.0,9.0,0.0054,69.7,1,10.0,32.0,0.0302,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:10:00,421237,4,580,E,ML,1.513,30,67,54.0,0.019,64.0,10,7.0,0.0045,71.7,1,10.0,12.0,0.0163,68.5,1,10.0,35.0,0.0361,61.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:10:00,421238,4,580,E,ML,3.005,30,67,50.0,0.0137,64.3,10,4.0,0.0019,71.9,1,10.0,12.0,0.0072,69.8,1,10.0,34.0,0.0319,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:15:00,421237,4,580,E,ML,1.513,30,67,41.0,0.0128,63.3,10,1.0,0.0007,71.7,1,10.0,8.0,0.0067,69.7,1,10.0,32.0,0.0311,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:15:00,421238,4,580,E,ML,3.005,30,67,52.0,0.0139,64.8,10,6.0,0.003,71.8,1,10.0,13.0,0.0079,69.8,1,10.0,33.0,0.0309,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:20:00,421237,4,580,E,ML,1.513,30,67,48.0,0.0169,63.8,10,2.0,0.0015,71.6,1,10.0,12.0,0.0144,69.4,1,10.0,34.0,0.0348,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:20:00,421238,4,580,E,ML,3.005,30,67,46.0,0.013,63.9,10,3.0,0.0014,71.9,1,10.0,10.0,0.0065,69.7,1,10.0,33.0,0.0311,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:25:00,421237,4,580,E,ML,1.513,30,67,43.0,0.0141,63.5,10,0.0,0.0,71.6,1,10.0,10.0,0.0097,70.0,1,10.0,33.0,0.0325,61.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:25:00,421238,4,580,E,ML,3.005,29,67,43.0,0.0121,63.6,10,1.0,0.0004,72.0,1,9.0,10.0,0.0057,69.8,1,10.0,32.0,0.0303,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:30:00,421237,4,580,E,ML,1.513,29,67,45.0,0.0162,63.5,10,1.0,0.0007,71.6,1,9.0,11.0,0.0139,69.3,1,10.0,33.0,0.034,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:30:00,421238,4,580,E,ML,3.005,30,67,41.0,0.0119,63.3,10,1.0,0.0004,72.1,1,10.0,8.0,0.0053,69.7,1,10.0,32.0,0.03,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:35:00,421237,4,580,E,ML,1.513,30,67,42.0,0.0136,63.5,10,4.0,0.0027,71.6,1,10.0,6.0,0.0066,69.6,1,10.0,32.0,0.0314,61.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:35:00,421238,4,580,E,ML,3.005,30,67,46.0,0.0125,63.8,10,2.0,0.0008,72.1,1,10.0,11.0,0.0062,69.9,1,10.0,33.0,0.0306,61.3,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:40:00,421237,4,580,E,ML,1.513,30,67,50.0,0.0192,63.0,10,5.0,0.0032,71.7,1,10.0,11.0,0.0177,67.2,1,10.0,34.0,0.0368,60.4,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:40:00,421238,4,580,E,ML,3.005,30,67,49.0,0.0145,64.1,10,6.0,0.0027,72.1,1,10.0,10.0,0.0084,69.2,1,10.0,33.0,0.0325,61.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:45:00,421237,4,580,E,ML,1.513,30,67,50.0,0.0203,61.7,10,4.0,0.0029,71.6,1,10.0,12.0,0.0206,64.5,1,10.0,34.0,0.0373,59.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:45:00,421238,4,580,E,ML,3.005,30,67,46.0,0.0131,63.3,10,1.0,0.0005,72.0,1,10.0,11.0,0.0073,69.3,1,10.0,34.0,0.0314,61.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
2026-01-06 02:50:00,421237,4,580,E,ML,1.513,30,67,44.0,0.0156,62.0,10,2.0,0.0012,71.8,1,10.0,9.0,0.012,66.5,1,10.0,33.0,0.0335,60.2,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
